AIA193,AIA211,HMI_m
2020-05-22T09-09-55.fits,2020-05-22T09-10-02.fits,2020-05-18T09-01-30.fits
2020-03-01T09-17-42.fits,2020-03-01T09-17-47.fits,2020-02-26T09-01-30.fits
2012-10-24T13-45-29.fits,2012-10-24T13-45-28.fits,2012-10-20T15-01-30.fits
2017-02-01T06-45-01.fits,2017-02-01T06-45-06.fits,2017-01-28T06-01-30.fits
2012-10-16T22-35-24.fits,2012-10-16T22-35-24.fits,2012-10-13T00-01-30.fits
2014-03-15T04-03-10.fits,2014-03-15T04-03-17.fits,2014-03-11T03-01-30.fits
2012-10-18T21-16-26.fits,2012-10-18T21-16-26.fits,2012-10-14T21-01-30.fits
2012-10-19T16-21-18.fits,2012-10-19T16-21-18.fits,2012-10-15T15-01-30.fits
2012-10-23T01-33-13.fits,2012-10-23T01-33-13.fits,2012-10-19T03-01-30.fits
2012-10-19T14-28-45.fits,2012-10-19T14-28-45.fits,2012-10-15T15-01-30.fits
2015-10-22T07-01-16.fits,2015-10-22T07-01-21.fits,2015-10-18T06-01-30.fits
2012-12-08T02-15-02.fits,2012-12-08T02-15-02.fits,2012-12-04T03-01-30.fits
2018-10-11T11-30-04.fits,2018-10-11T11-30-09.fits,2018-10-07T12-01-30.fits
2015-12-18T05-47-15.fits,2015-12-18T05-47-19.fits,2015-12-14T06-01-30.fits
2012-10-24T14-22-58.fits,2012-10-24T14-22-58.fits,2012-10-20T15-01-30.fits
2016-05-28T08-40-26.fits,2016-05-28T08-40-31.fits,2016-05-24T09-01-30.fits
2015-01-11T06-46-38.fits,2015-01-11T06-46-43.fits,2015-01-07T06-01-30.fits
2013-03-04T09-03-44.fits,2013-03-04T09-03-53.fits,2013-02-28T09-01-30.fits
2013-09-11T06-19-21.fits,2013-09-11T06-19-31.fits,2013-09-07T06-01-30.fits
2020-02-19T02-30-07.fits,2020-02-19T02-30-12.fits,2020-02-15T03-01-30.fits
2017-10-12T04-40-44.fits,2017-10-12T04-40-49.fits,2017-10-08T06-01-30.fits
2015-07-22T01-30-04.fits,2015-07-22T01-30-09.fits,2015-07-18T00-01-30.fits
2012-10-26T13-08-54.fits,2012-10-26T13-08-54.fits,2012-10-22T12-01-30.fits
2016-06-05T07-59-52.fits,2016-06-05T07-59-56.fits,2016-06-01T09-01-30.fits
2020-01-18T04-51-05.fits,2020-01-18T04-51-11.fits,2020-01-14T06-01-30.fits
2019-07-03T10-30-58.fits,2019-07-03T10-31-04.fits,2019-06-29T09-01-30.fits
2018-08-11T02-46-42.fits,2018-08-11T02-46-47.fits,2018-08-07T03-01-30.fits
2014-01-06T06-53-10.fits,2014-01-06T06-53-17.fits,2014-01-02T06-01-30.fits
2015-12-09T02-30-09.fits,2015-12-09T02-30-15.fits,2015-12-05T03-01-30.fits
2014-06-11T04-39-54.fits,2014-06-11T04-40-01.fits,2014-06-07T06-01-30.fits
2017-09-25T07-53-40.fits,2017-09-25T07-53-45.fits,2017-09-21T09-01-30.fits
2014-02-09T08-28-37.fits,2014-02-09T08-28-45.fits,2014-02-05T09-01-30.fits
2013-10-06T06-23-52.fits,2013-10-06T06-23-59.fits,2013-10-02T06-01-30.fits
2012-12-26T08-54-35.fits,2012-12-26T08-54-42.fits,2012-12-22T09-01-30.fits
2013-02-08T05-14-01.fits,2013-02-08T05-14-10.fits,2013-02-04T06-01-30.fits
2012-10-26T21-02-29.fits,2012-10-26T21-02-29.fits,2012-10-22T21-01-30.fits
2019-04-26T10-41-01.fits,2019-04-26T10-41-06.fits,2019-04-22T12-01-30.fits
2017-11-14T09-02-35.fits,2017-11-14T09-02-40.fits,2017-11-10T09-01-30.fits
2014-09-29T22-16-56.fits,2014-09-29T22-17-03.fits,2014-09-25T21-01-30.fits
2013-04-30T06-48-12.fits,2013-04-30T06-48-20.fits,2013-04-26T06-01-30.fits
2017-02-08T04-34-58.fits,2017-02-08T04-35-02.fits,2017-02-04T06-01-30.fits
2018-06-06T08-43-44.fits,2018-06-06T08-43-49.fits,2018-06-02T09-01-30.fits
2019-07-28T07-08-38.fits,2019-07-28T07-08-42.fits,2019-07-24T06-01-30.fits
2014-09-22T07-31-32.fits,2014-09-22T07-31-39.fits,2014-09-18T06-01-30.fits
2018-10-05T05-17-05.fits,2018-10-05T05-17-11.fits,2018-10-01T06-01-30.fits
2017-03-08T03-32-43.fits,2017-03-08T03-32-47.fits,2017-03-04T03-01-30.fits
2012-10-16T21-30-11.fits,2012-10-16T21-30-11.fits,2012-10-12T21-01-30.fits
2016-10-17T07-33-12.fits,2016-10-17T07-33-17.fits,2016-10-13T09-01-30.fits
2018-07-11T02-47-30.fits,2018-07-11T02-47-36.fits,2018-07-07T03-01-30.fits
2013-12-29T06-42-49.fits,2013-12-29T06-42-57.fits,2013-12-25T06-01-30.fits
2012-12-06T05-50-44.fits,2012-12-06T05-50-53.fits,2012-12-02T06-01-30.fits
2014-08-25T06-21-48.fits,2014-08-25T06-21-53.fits,2014-08-21T06-01-30.fits
2019-07-13T09-10-17.fits,2019-07-13T09-10-22.fits,2019-07-09T09-01-30.fits
2012-10-17T15-26-03.fits,2012-10-17T15-26-03.fits,2012-10-13T15-01-30.fits
2014-07-28T04-38-31.fits,2014-07-28T04-38-39.fits,2014-07-24T06-01-30.fits
2013-09-20T04-54-13.fits,2013-09-20T04-54-22.fits,2013-09-16T06-01-30.fits
2020-06-11T06-53-46.fits,2020-06-11T06-53-51.fits,2020-06-07T06-01-30.fits
2018-05-29T03-50-42.fits,2018-05-29T03-50-47.fits,2018-05-25T03-01-30.fits
2020-02-05T09-30-33.fits,2020-02-05T09-30-39.fits,2020-02-01T09-01-30.fits
2014-02-04T06-49-11.fits,2014-02-04T06-49-19.fits,2014-01-31T06-01-30.fits
2012-12-07T14-57-41.fits,2012-12-07T14-57-41.fits,2012-12-03T15-01-30.fits
2018-06-08T02-58-18.fits,2018-06-08T02-58-24.fits,2018-06-04T03-01-30.fits
2013-07-31T09-47-01.fits,2013-07-31T09-47-08.fits,2013-07-27T09-01-30.fits
2020-02-10T02-30-13.fits,2020-02-10T02-30-23.fits,2020-02-06T03-01-30.fits
2020-06-04T04-50-10.fits,2020-06-04T03-44-25.fits,2020-05-31T06-01-30.fits
2013-09-24T03-30-24.fits,2013-09-24T03-30-35.fits,2013-09-20T03-01-30.fits
2018-03-23T05-51-23.fits,2018-03-23T05-51-27.fits,2018-03-19T06-01-30.fits
2012-10-23T01-23-50.fits,2012-10-23T01-23-50.fits,2012-10-19T00-01-30.fits
2016-07-14T01-30-07.fits,2016-07-14T01-30-12.fits,2016-07-10T00-01-30.fits
2014-01-30T05-05-04.fits,2014-01-30T05-05-11.fits,2014-01-26T06-01-30.fits
2015-07-17T03-38-31.fits,2015-07-17T03-38-35.fits,2015-07-13T03-01-30.fits
2012-10-16T19-46-28.fits,2012-10-16T21-05-56.fits,2012-10-12T21-01-30.fits
2012-12-08T02-52-19.fits,2012-12-08T02-52-19.fits,2012-12-04T03-01-30.fits
2012-12-07T14-31-39.fits,2012-12-07T14-31-39.fits,2012-12-03T15-01-30.fits
2013-07-08T04-47-29.fits,2013-07-08T04-47-34.fits,2013-07-04T06-01-30.fits
2013-07-25T07-44-56.fits,2013-07-25T07-45-03.fits,2013-07-21T09-01-30.fits
2016-01-16T03-39-26.fits,2016-01-16T03-39-32.fits,2016-01-12T03-01-30.fits
2018-05-12T04-00-16.fits,2018-05-12T04-00-22.fits,2018-05-08T03-01-30.fits
2013-02-02T08-02-34.fits,2013-02-02T08-02-42.fits,2013-01-29T09-01-30.fits
2015-05-01T07-58-34.fits,2015-05-01T07-58-38.fits,2015-04-27T09-01-30.fits
2012-10-18T21-55-49.fits,2012-10-18T21-55-49.fits,2012-10-14T21-01-30.fits
2012-10-25T13-55-08.fits,2012-10-25T13-55-08.fits,2012-10-21T15-01-30.fits
2017-09-16T05-48-35.fits,2017-09-16T05-48-40.fits,2017-09-12T06-01-30.fits
2012-11-06T06-28-27.fits,2012-11-06T06-28-36.fits,2012-11-02T06-01-30.fits
2017-09-20T02-34-47.fits,2017-09-20T02-34-52.fits,2017-09-16T03-01-30.fits
2017-05-07T05-45-21.fits,2017-05-07T05-45-26.fits,2017-05-03T06-01-30.fits
2014-07-18T05-16-51.fits,2014-07-18T05-16-59.fits,2014-07-14T06-01-30.fits
2014-02-16T04-30-27.fits,2014-02-16T04-30-32.fits,2014-02-12T03-01-30.fits
2020-04-28T04-47-13.fits,2020-04-28T04-47-19.fits,2020-04-24T06-01-30.fits
2014-06-10T07-32-01.fits,2014-06-10T07-32-08.fits,2014-06-06T09-01-30.fits
2016-02-19T10-18-42.fits,2016-02-19T10-18-46.fits,2016-02-15T09-01-30.fits
2017-12-26T04-37-37.fits,2017-12-26T04-37-41.fits,2017-12-22T06-01-30.fits
2019-01-14T02-30-11.fits,2019-01-14T02-30-16.fits,2019-01-10T03-01-30.fits
2012-10-22T15-11-36.fits,2012-10-22T15-11-36.fits,2012-10-18T15-01-30.fits
2012-11-25T06-30-20.fits,2012-11-25T06-30-27.fits,2012-11-21T06-01-30.fits
2016-11-06T05-16-19.fits,2016-11-06T05-16-25.fits,2016-11-02T06-01-30.fits
2019-07-21T08-16-31.fits,2019-07-21T08-16-35.fits,2019-07-17T09-01-30.fits
2012-10-23T13-42-56.fits,2012-10-23T13-42-56.fits,2012-10-19T15-01-30.fits
2018-10-14T05-19-05.fits,2018-10-14T05-19-11.fits,2018-10-10T06-01-30.fits
2016-05-13T09-20-36.fits,2016-05-13T09-20-27.fits,2016-05-09T09-01-30.fits
2016-06-14T01-30-06.fits,2016-06-14T01-30-11.fits,2016-06-10T00-01-30.fits
2014-07-09T05-11-14.fits,2014-07-09T05-11-22.fits,2014-07-05T06-01-30.fits
2013-02-20T07-31-19.fits,2013-02-20T07-31-28.fits,2013-02-16T06-01-30.fits
2019-10-18T05-16-01.fits,2019-10-18T05-16-07.fits,2019-10-14T06-01-30.fits
2017-03-22T08-54-47.fits,2017-03-22T08-54-51.fits,2017-03-18T09-01-30.fits
2019-10-28T02-48-15.fits,2019-10-28T02-48-21.fits,2019-10-24T03-01-30.fits
2012-12-10T14-53-50.fits,2012-12-10T14-53-50.fits,2012-12-06T15-01-30.fits
2017-04-18T05-47-04.fits,2017-04-18T05-47-08.fits,2017-04-14T06-01-30.fits
2019-05-21T05-21-19.fits,2019-05-21T05-21-24.fits,2019-05-17T06-01-30.fits
2012-11-22T04-30-21.fits,2012-11-22T04-30-29.fits,2012-11-18T03-01-30.fits
2014-03-27T06-03-34.fits,2014-03-27T06-03-41.fits,2014-03-23T06-01-30.fits
2012-12-07T22-39-57.fits,2012-12-07T22-39-57.fits,2012-12-04T00-01-30.fits
2016-04-15T06-01-24.fits,2016-04-15T06-01-28.fits,2016-04-11T06-01-30.fits
2015-03-04T07-03-50.fits,2015-03-04T07-03-54.fits,2015-02-28T06-01-30.fits
2017-09-20T03-42-49.fits,2017-09-20T03-42-54.fits,2017-09-16T03-01-30.fits
2018-05-15T10-29-51.fits,2018-05-15T10-29-56.fits,2018-05-11T09-01-30.fits
2020-03-01T03-38-42.fits,2020-03-01T03-38-47.fits,2020-02-26T03-01-30.fits
2013-12-08T04-30-24.fits,2013-12-08T04-30-32.fits,2013-12-04T03-01-30.fits
2019-02-06T07-40-12.fits,2019-02-06T07-40-17.fits,2019-02-02T09-01-30.fits
2014-06-12T05-44-10.fits,2014-06-12T05-44-17.fits,2014-06-08T06-01-30.fits
2017-10-24T02-33-27.fits,2017-10-24T02-33-31.fits,2017-10-20T03-01-30.fits
2015-10-16T07-02-54.fits,2015-10-16T07-02-59.fits,2015-10-12T06-01-30.fits
2016-09-06T09-17-01.fits,2016-09-06T09-17-06.fits,2016-09-02T09-01-30.fits
2019-07-01T06-41-21.fits,2019-07-01T06-41-26.fits,2019-06-27T06-01-30.fits
2016-06-03T06-56-25.fits,2016-06-03T06-56-29.fits,2016-05-30T06-01-30.fits
2018-01-19T07-59-06.fits,2018-01-19T07-59-10.fits,2018-01-15T09-01-30.fits
2020-05-29T08-03-36.fits,2020-05-29T08-03-41.fits,2020-05-25T09-01-30.fits
2015-07-09T02-33-57.fits,2015-07-09T02-34-01.fits,2015-07-05T03-01-30.fits
2015-04-15T03-36-21.fits,2015-04-15T03-36-25.fits,2015-04-11T03-01-30.fits
2013-03-24T07-21-24.fits,2013-03-24T07-21-32.fits,2013-03-20T06-01-30.fits
2012-10-18T13-27-36.fits,2012-10-18T13-27-36.fits,2012-10-14T12-01-30.fits
2013-04-22T05-26-20.fits,2013-04-22T05-26-27.fits,2013-04-18T06-01-30.fits
2016-05-28T09-50-50.fits,2016-05-28T09-50-55.fits,2016-05-24T09-01-30.fits
2016-07-01T03-41-41.fits,2016-07-01T03-41-46.fits,2016-06-27T03-01-30.fits
2012-10-19T16-15-58.fits,2012-10-19T16-15-58.fits,2012-10-15T15-01-30.fits
2013-06-25T07-10-49.fits,2013-06-25T07-10-56.fits,2013-06-21T06-01-30.fits
2020-02-10T09-14-56.fits,2020-02-10T09-14-55.fits,2020-02-06T09-01-30.fits
2018-01-21T08-01-11.fits,2018-01-21T08-01-16.fits,2018-01-17T09-01-30.fits
2012-10-28T04-47-21.fits,2012-10-28T04-47-29.fits,2012-10-24T06-01-30.fits
2015-01-24T03-54-41.fits,2015-01-24T03-54-45.fits,2015-01-20T03-01-30.fits
2019-01-30T02-30-08.fits,2019-01-30T02-30-14.fits,2019-01-26T03-01-30.fits
2017-07-28T07-52-19.fits,2017-07-28T07-52-24.fits,2017-07-24T09-01-30.fits
2012-12-10T14-26-56.fits,2012-12-10T14-26-56.fits,2012-12-06T15-01-30.fits
2014-11-21T03-50-37.fits,2014-11-21T03-50-43.fits,2014-11-17T03-01-30.fits
2014-07-15T03-30-23.fits,2014-07-15T03-30-31.fits,2014-07-11T03-01-30.fits
2017-01-03T09-50-16.fits,2017-01-03T09-50-20.fits,2016-12-30T09-01-30.fits
2019-08-13T08-04-50.fits,2019-08-13T08-04-39.fits,2019-08-09T09-01-30.fits
2018-02-18T05-42-43.fits,2018-02-18T05-42-34.fits,2018-02-14T06-01-30.fits
2019-12-22T06-13-08.fits,2019-12-22T06-13-15.fits,2019-12-18T06-01-30.fits
2013-11-02T06-21-03.fits,2013-11-02T06-21-11.fits,2013-10-29T06-01-30.fits
2015-10-18T09-21-32.fits,2015-10-18T09-21-36.fits,2015-10-14T09-01-30.fits
2018-06-02T04-05-29.fits,2018-06-02T02-46-43.fits,2018-05-29T03-01-30.fits
2012-10-18T21-28-37.fits,2012-10-18T21-28-37.fits,2012-10-14T21-01-30.fits
2013-05-19T11-58-52.fits,2013-05-19T11-59-00.fits,2013-05-15T12-01-30.fits
2016-02-05T03-35-21.fits,2016-02-05T03-35-25.fits,2016-02-01T03-01-30.fits
2016-03-25T05-56-32.fits,2016-03-25T05-56-37.fits,2016-03-21T06-01-30.fits
2014-04-27T05-36-23.fits,2014-04-27T05-36-30.fits,2014-04-23T06-01-30.fits
2013-08-12T11-14-58.fits,2013-08-12T11-15-05.fits,2013-08-08T12-01-30.fits
2018-09-14T09-31-57.fits,2018-09-14T09-32-03.fits,2018-09-10T09-01-30.fits
